vectorLength,actualNumComparisons,expectedNumComparisons,timeElapsed
698,6654,6654,0.0003
699,6665,6665,0.000141
700,6676,6676,6.3e-005
701,6687,6687,0.000286
702,6698,6698,6.3e-005
703,6709,6709,0
704,6720,6720,0
705,6731,6731,0.000156
706,6742,6742,0.000204
707,6753,6753,7e-005
708,6764,6764,0
709,6775,6775,0
710,6786,6786,0
711,6797,6797,0.000177
712,6808,6808,6.7e-005
713,6819,6819,0.000273
714,6830,6830,0
715,6841,6841,0
716,6852,6852,0
717,6863,6863,0.000664
718,6874,6874,0.000215
719,6885,6885,3e-005
720,6896,6896,8.8e-005
721,6907,6907,8e-005
722,6918,6918,0.000247
723,6929,6929,0.000182
724,6940,6940,1.5e-005
725,6951,6951,0
726,6962,6962,0
727,6973,6973,0
728,6984,6984,0.00018
729,6995,6995,0.000156
730,7006,7006,7.3e-005
731,7017,7017,0
732,7028,7028,0
733,7039,7039,0
734,7050,7050,0
735,7061,7061,0
736,7072,7072,0
737,7083,7083,0
738,7094,7094,0.000998
739,7105,7105,0
740,7116,7116,0
741,7127,7127,0
742,7138,7138,0.000855
743,7149,7149,0.000155
744,7160,7160,0
745,7171,7171,0.000162
746,7182,7182,0
747,7193,7193,0
748,7204,7204,0.000437
749,7215,7215,0
750,7226,7226,0.000459
751,7237,7237,0
752,7248,7248,0
753,7259,7259,0.000538
754,7270,7270,0
755,7281,7281,0
756,7292,7292,0
757,7303,7303,0
758,7314,7314,0.000997
759,7325,7325,0
760,7336,7336,0.000379
761,7347,7347,0.000184
762,7358,7358,0.000204
763,7369,7369,0.000231
764,7380,7380,0
765,7391,7391,0
766,7402,7402,0
767,7413,7413,0
768,7424,7424,0.000997
769,7435,7435,0
770,7446,7446,0
771,7457,7457,0
772,7468,7468,0
773,7479,7479,0.000997
774,7490,7490,0
775,7501,7501,0
776,7512,7512,0
777,7523,7523,0
778,7534,7534,0.001002
779,7545,7545,0
780,7556,7556,0
781,7567,7567,0
782,7578,7578,0
783,7589,7589,0.000993
784,7600,7600,0
785,7611,7611,0
786,7622,7622,0
787,7633,7633,0
788,7644,7644,0.000997
789,7655,7655,0
790,7666,7666,0
791,7677,7677,0
792,7688,7688,0
793,7699,7699,0.000997
794,7710,7710,0.000116
795,7721,7721,0
796,7732,7732,0
797,7743,7743,0
798,7754,7754,0.000882
799,7765,7765,0.000129
800,7776,7776,0
801,7787,7787,0
802,7798,7798,0
803,7809,7809,0.000868
804,7820,7820,0
805,7831,7831,0
806,7842,7842,0
807,7853,7853,0
808,7864,7864,0.000998
809,7875,7875,0
810,7886,7886,0
811,7897,7897,0
812,7908,7908,0
813,7919,7919,0
814,7930,7930,0
815,7941,7941,0
816,7952,7952,0
817,7963,7963,0.000997
818,7974,7974,0
819,7985,7985,0
820,7996,7996,0
821,8007,8007,0
822,8018,8018,0.000998
823,8029,8029,0
824,8040,8040,0
825,8051,8051,0
826,8062,8062,0
827,8073,8073,0.000997
828,8084,8084,0
829,8095,8095,0
830,8106,8106,0
831,8117,8117,0.000997
832,8128,8128,0
833,8139,8139,0
834,8150,8150,0
835,8161,8161,0
836,8172,8172,0.000997
837,8183,8183,0
838,8194,8194,0
839,8205,8205,0
840,8216,8216,0
841,8227,8227,0
842,8238,8238,0
843,8249,8249,0
844,8260,8260,0
845,8271,8271,0.000997
846,8282,8282,0
847,8293,8293,0
848,8304,8304,0
849,8315,8315,0
850,8326,8326,0.000998
851,8337,8337,0
852,8348,8348,0
853,8359,8359,0
854,8370,8370,0.000997
855,8381,8381,0
856,8392,8392,0
857,8403,8403,0
858,8414,8414,0
859,8425,8425,0.000997
860,8436,8436,0
861,8447,8447,0
862,8458,8458,0
863,8469,8469,0.000997
864,8480,8480,0
865,8491,8491,0
866,8502,8502,0
867,8513,8513,0
868,8524,8524,0
869,8535,8535,0
870,8546,8546,0
871,8557,8557,0
872,8568,8568,0.000997
873,8579,8579,0
874,8590,8590,0
875,8601,8601,0
876,8612,8612,0
877,8623,8623,0
878,8634,8634,0
879,8645,8645,0
880,8656,8656,0
881,8667,8667,0.000998
882,8678,8678,0
883,8689,8689,0
884,8700,8700,0
885,8711,8711,0.000997
886,8722,8722,0
887,8733,8733,0
888,8744,8744,0
889,8755,8755,0
890,8766,8766,0
891,8777,8777,0
892,8788,8788,0
893,8799,8799,0
894,8810,8810,0.000997
895,8821,8821,0
896,8832,8832,0
897,8843,8843,0
898,8854,8854,0.000997
899,8865,8865,0
900,8876,8876,0
901,8887,8887,0
902,8898,8898,0
903,8909,8909,0
904,8920,8920,0
905,8931,8931,0
906,8942,8942,0
907,8953,8953,0.000997
908,8964,8964,0
909,8975,8975,0
910,8986,8986,0
911,8997,8997,0.000997
912,9008,9008,0
913,9019,9019,0
914,9030,9030,0
915,9041,9041,0.000997
916,9052,9052,0
917,9063,9063,0
918,9074,9074,0
919,9085,9085,0.000998
920,9096,9096,0
921,9107,9107,0
922,9118,9118,0
923,9129,9129,0
924,9140,9140,0
925,9151,9151,0
926,9162,9162,0
927,9173,9173,0
928,9184,9184,0.000998
929,9195,9195,0
930,9206,9206,0
931,9217,9217,0
932,9228,9228,0.000997
933,9239,9239,0
934,9250,9250,0
935,9261,9261,0
936,9272,9272,0.000997
937,9283,9283,0
938,9294,9294,0
939,9305,9305,0
940,9316,9316,0.000998
941,9327,9327,0
942,9338,9338,0
943,9349,9349,0
